pdf_filename,true_order_id,true_serial_number,true_temperature,true_humidity
certificado_8952.pdf,8952,5471228,23,28
certificado_4970.pdf,4970,N64267,24,32
certificado_8809.pdf,8809,28900557WS,24,29
certificado_8852.pdf,8852,1004-739,23,35
certificado_8926.pdf,8926,20260312-A,16,48
certificado_4898.pdf,4898,DC1DIX,10,50
certificado_2526.pdf,2526,142020,24,32
certificado_3133.pdf,3133,20211305C,21,45
certificado_3999.pdf,3999,123994,23,37
1111.pdf,1111,B830167585,25,37
certificado_2222.pdf,2222,2360,23,29
certificado_3333.pdf,3333,30850150WS,23,28.9
certificado_4444.pdf,4444,110441,23,31
certificado_5555.pdf,5555,190326606,24,35
certificado_6666.pdf,6666,23JUL117124,,
certificado_7777.pdf,7777,9515349,24,27
certificado_8888.pdf,8888,20230816-C,24,35
certificado_8424.pdf,8424,136283,24,27
certificado_8817.pdf,8817,130015,23,31
certificado_8907.pdf,8907,M4SL476377,24,33
certificado_2615.pdf,2615,13931,16.8,
certificado_4058.pdf,4058,E0583,15,
certificado_7898.pdf,7898,C244814810,23,24
certificado_8899.pdf,8899,171008356,24,31
certificado_8930.pdf,8930,20230320-C,22,48
certificado_8940.pdf,8940,22660253,23,42
certificado_7894.pdf,7894,211449,24,28
certificado_8100.pdf,8100,H480069,24,28
certificado_8200.pdf,8200,11080448,24,28
certificado_8300.pdf,8300,522850,24,37
